First language,People,Percentage,Location ID
Afrikaans,76743,65.61%,Parow
English,31338,26.79%,Parow
Other,3818,3.26%,Parow
isiXhosa,2719,2.32%,Parow
Setswana,586,0.50%,Parow
Sesotho,507,0.43%,Parow
isiZulu,371,0.32%,Parow
isiNdebele,240,0.21%,Parow
Sign language,207,0.18%,Parow
Sepedi,147,0.13%,Parow
Xitsonga,119,0.10%,Parow
Tshivenda,110,0.09%,Parow
SiSwati,67,0.06%,Parow
Not applicable,2489,,Parow
isiXhosa,354164,90.54%,Khayelitsha
English,12608,3.22%,Khayelitsha
Sesotho,5326,1.36%,Khayelitsha
Other,5138,1.31%,Khayelitsha
Afrikaans,4138,1.06%,Khayelitsha
Sign language,3357,0.86%,Khayelitsha
isiZulu,2418,0.62%,Khayelitsha
Sepedi,1145,0.29%,Khayelitsha
isiNdebele,1046,0.27%,Khayelitsha
Setswana,904,0.23%,Khayelitsha
Xitsonga,481,0.12%,Khayelitsha
Tshivenda,278,0.07%,Khayelitsha
SiSwati,155,0.04%,Khayelitsha
Not applicable,591,,Khayelitsha
isiXhosa,48024,91.99%,Langa
English,1296,2.48%,Langa
Other,689,1.32%,Langa
Afrikaans,449,0.86%,Langa
isiZulu,404,0.77%,Langa
Sesotho,389,0.75%,Langa
Sign language,388,0.74%,Langa
Xitsonga,136,0.26%,Langa
Sepedi,131,0.25%,Langa
Setswana,127,0.24%,Langa
isiNdebele,117,0.22%,Langa
Tshivenda,36,0.07%,Langa
SiSwati,19,0.04%,Langa
Not applicable,198,,Langa
Afrikaans,830,54.25%,City of Cape Town
English,462,30.20%,City of Cape Town
isiXhosa,142,9.28%,City of Cape Town
Other,64,4.18%,City of Cape Town
Sesotho,12,0.78%,City of Cape Town
isiZulu,8,0.52%,City of Cape Town
Setswana,6,0.39%,City of Cape Town
isiNdebele,4,0.26%,City of Cape Town
Xitsonga,2,0.13%,City of Cape Town
Sign language,2,0.13%,City of Cape Town
Not applicable,30,,City of Cape Town
English,10591,59.70%,Hout Bay
Afrikaans,5842,32.93%,Hout Bay
Other,738,4.16%,Hout Bay
isiXhosa,224,1.26%,Hout Bay
isiZulu,67,0.38%,Hout Bay
isiNdebele,65,0.37%,Hout Bay
Setswana,64,0.36%,Hout Bay
Sesotho,61,0.34%,Hout Bay
Sign language,36,0.20%,Hout Bay
Tshivenda,17,0.10%,Hout Bay
Sepedi,14,0.08%,Hout Bay
Xitsonga,12,0.07%,Hout Bay
SiSwati,8,0.05%,Hout Bay
Not applicable,160,,Hout Bay

